record,polled_utc,line,destination,arrival_utc,minutes_away
233,2025-05-07T17:25:03+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,12
234,2025-05-07T17:25:03+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,23
235,2025-05-07T17:26:06+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:28:22+00:00,2
236,2025-05-07T17:26:06+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,11
237,2025-05-07T17:26:06+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,22
238,2025-05-07T17:27:08+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:28:22+00:00,1
239,2025-05-07T17:27:08+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,10
240,2025-05-07T17:27:08+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:48:30+00:00,21
241,2025-05-07T17:28:10+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:28:21+00:00,0
242,2025-05-07T17:28:10+00:00,TARAVAL,Metro Embarcadero Station,2025-05-07T17:37:30+00:00,9
